Game,Draw,DrawDate,BallCase,Globe,b1,b2,b3,b4,b5,b6,b7,LuckyMonth
DS0731,534,23/11/2021,11DS,G5,31,14,19,11,30,10,28,04
DS0731,535,25/11/2021,11DS,G5,10,14,02,04,11,30,28,11
DS0731,536,27/11/2021,11DS,G3,05,10,12,03,22,08,27,01
DS0731,537,30/11/2021,11DS,G5,19,11,08,22,24,28,13,08
DS0731,538,02/12/2021,11DS,G5,08,29,31,28,12,19,18,12
DS0731,539,04/12/2021,11DS,G3,27,12,07,23,16,14,26,03
DS0731,540,07/12/2021,11DS,G6,09,25,18,21,07,13,10,04
DS0731,541,09/12/2021,11DS,G6,31,06,17,01,08,13,04,01
DS0731,542,11/12/2021,11DS,G3,29,13,10,17,06,15,03,07
DS0731,543,14/01/2021,11DS,G5,26,06,20,04,03,10,18,06
DS0731,544,16/12/2021,11DS,G5,24,11,09,17,28,02,08,01
DS0731,545,18/12/2021,11DS,G3,21,19,12,06,26,01,22,03
DS0731,546,21/01/2021,11DS,G5,19,29,17,20,08,06,21,05
DS0731,547,23/01/2021,11DS,G5,25,04,02,17,19,18,31,12
DS0731,548,28/01/2021,11DS,G5,30,11,01,19,07,29,21,04
DS0731,549,30/12/2021,11DS,G5,23,16,04,06,14,24,08,07
DS0731,550,04/01/2022,11DS,G4,27,08,16,28,18,05,23,04
DS0731,551,06/01/2022,11DS,G5,01,24,06,12,08,04,30,02
DS0731,552,08/01/2022,11DS,G3,14,29,21,23,06,13,27,12
DS0731,553,11/01/2022,11DS,G5,08,26,30,23,19,14,06,02
DS0731,554,13/01/2022,11DS,G5,19,05,09,30,20,26,17,06
DS0731,555,15/01/2022,11DS,G3,04,24,15,12,25,22,17,05
DS0731,556,18/01/2022,11DS,G5,03,28,25,09,17,19,06,08
DS0731,557,20/01/2022,11DS,G5,23,26,20,07,01,12,10,09
DS0731,558,22/01/2022,11DS,G3,21,27,26,03,05,17,11,01
DS0731,559,25/01/2022,11DS,G5,25,22,09,18,30,11,17,02
DS0731,560,27/01/2022,11DS,G5,14,29,12,17,27,19,30,11
DS0731,561,29/01/2022,11DS,G3,21,30,04,19,16,01,18,07
DS0731,562,01/02/2022,11DS,G4,14,02,26,09,29,07,19,06
DS0731,563,03/02/2022,11DS,G4,18,27,11,05,30,10,28,04
DS0731,564,05/02/2022,11DS,G3,31,04,11,22,02,24,20,12
DS0731,565,08/02/2022,11DS,G4,02,24,01,11,19,13,21,06
DS0731,566,10/02/2022,11DS,G4,07,02,19,13,18,15,25,02
DS0731,567,12/02/2022,11DS,G3,08,23,12,21,28,25,19,02
DS0731,568,15/02/2022,11DS,G4,29,01,31,20,14,07,12,10
DS0731,569,17/02/2022,11DS,G4,21,04,09,02,01,31,17,04
DS0731,570,19/02/2022,11DS,G3,24,29,23,18,09,21,20,07
DS0731,571,22/02/2022,11DS,G5,31,13,16,09,18,26,23,01
DS0731,572,24/02/2022,11DS,G5,07,10,30,14,12,03,27,12
DS0731,573,26/02/2022,11DS,G3,26,06,29,22,30,24,13,07
DS0731,574,03/03/2022,11DS,G5,29,22,26,14,24,23,11,04
DS0731,575,05/03/2022,11DS,G3,12,23,10,06,04,14,03,04
DS0731,576,08/03/2022,11DS,G5,06,26,02,03,16,08,25,04
DS0731,577,10/03/2022,11DS,G5,29,07,04,25,14,30,10,02
DS0731,578,12/03/2022,11DS,G3,20,25,11,17,21,13,23,06
DS0731,579,15/03/2022,11DS,G4,22,01,25,08,06,04,17,01
DS0731,580,17/03/2022,11DS,G4,25,21,19,18,22,09,13,05
DS0731,581,19/03/2022,11DS,G3,11,16,09,08,02,25,29,11
DS0731,582,22/03/2022,11DS,G4,09,17,21,20,26,22,10,05
DS0731,583,24/03/2022,11DS,G4,06,03,29,25,15,10,21,11
DS0731,584,26/03/2022,11DS,G3,10,22,30,26,24,03,31,01
DS0731,585,29/03/2022,11DS,G4,29,17,14,07,01,12,02,04
DS0731,586,31/03/2022,11DS,G4,25,01,28,09,11,22,31,02
DS0731,587,02/04/2022,11DS,G4,21,11,10,06,29,19,13,08
